task__calibration,task__created,task__id,task__info,task__n_answers,task__priority_0,task__project_id,task__quorum,task__state,taskinfo__id,taskinfo__image_url,taskinfo__source_uri
0,2015-05-04T15:58:57.738549,599,"{""source_uri"": ""http://www.doctorswithoutborders.org/our-work/medical-issues/ebola"", ""image_url"": ""http://www.doctorswithoutborders.org/sites/usa/files/styles/article_homepage/https/media.msf.org/Docs/MSF/Media/TR1/5/d/8/4/MSB13871.jpg"", ""id"": ""52""}",15,0,27,0,completed,52,http://www.doctorswithoutborders.org/sites/usa/files/styles/article_homepage/https/media.msf.org/Docs/MSF/Media/TR1/5/d/8/4/MSB13871.jpg,http://www.doctorswithoutborders.org/our-work/medical-issues/ebola
0,2015-05-04T15:58:57.767962,600,"{""source_uri"": ""http://www.dw.de/failures-in-the-fight-against-ebola/a-17897009"", ""image_url"": ""http://www.dw.de/image/0,,17967948_301,00.jpg"", ""id"": ""53""}",15,0,27,0,completed,53,"http://www.dw.de/image/0,,17967948_301,00.jpg",http://www.dw.de/failures-in-the-fight-against-ebola/a-17897009
0,2015-05-04T15:58:57.797722,601,"{""source_uri"": ""http://www.dw.de/failures-in-the-fight-against-ebola/a-17897009"", ""image_url"": ""http://www.dw.de/image/0,,17895909_303,00.jpg"", ""id"": ""54""}",15,0,27,0,completed,54,"http://www.dw.de/image/0,,17895909_303,00.jpg",http://www.dw.de/failures-in-the-fight-against-ebola/a-17897009
0,2015-05-04T15:58:57.825471,602,"{""source_uri"": ""http://www.dw.de/failures-in-the-fight-against-ebola/a-17897009"", ""image_url"": ""http://www.dw.de/image/0,,17889143_401,00.png"", ""id"": ""55""}",15,0,27,0,completed,55,"http://www.dw.de/image/0,,17889143_401,00.png",http://www.dw.de/failures-in-the-fight-against-ebola/a-17897009
0,2015-05-04T15:58:57.858935,603,"{""source_uri"": ""http://www.dailymail.co.uk/news/article-2725754/Ebola-vastly-worse-thought-warns-World-Health-Organisation-America-evacuates-diplomatic-families-affected-country.html"", ""image_url"": ""http://news.bbcimg.co.uk/media/images/78061000/jpg/_78061814_73958600.jpg"", ""id"": ""56""}",15,0,27,0,completed,56,http://news.bbcimg.co.uk/media/images/78061000/jpg/_78061814_73958600.jpg,http://www.dailymail.co.uk/news/article-2725754/Ebola-vastly-worse-thought-warns-World-Health-Organisation-America-evacuates-diplomatic-families-affected-country.html
0,2015-05-04T15:58:57.891369,604,"{""source_uri"": ""http://www.dailymail.co.uk/news/article-2725754/Ebola-vastly-worse-thought-warns-World-Health-Organisation-America-evacuates-diplomatic-families-affected-country.html"", ""image_url"": ""http://news.bbcimg.co.uk/media/images/78061000/jpg/_78061813_ebola_virus_disease_outbreak-spl-1.jpg"", ""id"": ""57""}",15,0,27,0,completed,57,http://news.bbcimg.co.uk/media/images/78061000/jpg/_78061813_ebola_virus_disease_outbreak-spl-1.jpg,http://www.dailymail.co.uk/news/article-2725754/Ebola-vastly-worse-thought-warns-World-Health-Organisation-America-evacuates-diplomatic-families-affected-country.html
0,2015-05-04T15:58:57.917691,605,"{""source_uri"": ""http://who.int/features/2014/ebola-liberia/photos/en/index1.html"", ""image_url"": ""http://who.int/features/2014/ebola-liberia/ebola-liberia-2.jpg"", ""id"": ""58""}",15,0,27,0,completed,58,http://who.int/features/2014/ebola-liberia/ebola-liberia-2.jpg,http://who.int/features/2014/ebola-liberia/photos/en/index1.html
0,2015-05-04T15:58:57.949397,606,"{""source_uri"": ""http://www.dailymail.co.uk/news/article-2725754/Ebola-vastly-worse-thought-warns-World-Health-Organisation-America-evacuates-diplomatic-families-affected-country.html"", ""image_url"": ""http://www.gannett-cdn.com/-mm-/731f75e27f49c4f1f2e94fcec56291c811d4317e/c=169-0-1987-1367&r=x513&c=680x510/local/-/media/USATODAY/None/2014/10/29/635501760236160008-ebola102914x005.jpg"", ""id"": ""59""}",15,0,27,0,completed,59,http://www.gannett-cdn.com/-mm-/731f75e27f49c4f1f2e94fcec56291c811d4317e/c=169-0-1987-1367&r=x513&c=680x510/local/-/media/USATODAY/None/2014/10/29/635501760236160008-ebola102914x005.jpg,http://www.dailymail.co.uk/news/article-2725754/Ebola-vastly-worse-thought-warns-World-Health-Organisation-America-evacuates-diplomatic-families-affected-country.html
0,2015-05-04T15:58:57.976869,607,"{""source_uri"": ""http://www.dailymail.co.uk/news/article-2725754/Ebola-vastly-worse-thought-warns-World-Health-Organisation-America-evacuates-diplomatic-families-affected-country.html"", ""image_url"": ""http://ichef.bbci.co.uk/news/highquality/590/media/images/78068000/jpg/_78068652_ebola_suit_with_title.jpg"", ""id"": ""60""}",15,0,27,0,completed,60,http://ichef.bbci.co.uk/news/highquality/590/media/images/78068000/jpg/_78068652_ebola_suit_with_title.jpg,http://www.dailymail.co.uk/news/article-2725754/Ebola-vastly-worse-thought-warns-World-Health-Organisation-America-evacuates-diplomatic-families-affected-country.html
0,2015-05-04T15:58:58.007946,608,"{""source_uri"": ""http://who.int/features/2014/ebola-liberia/photos/en/index3.html"", ""image_url"": ""http://who.int/features/2014/ebola-liberia/ebola-liberia-4.jpg"", ""id"": ""61""}",15,0,27,0,completed,61,http://who.int/features/2014/ebola-liberia/ebola-liberia-4.jpg,http://who.int/features/2014/ebola-liberia/photos/en/index3.html
0,2015-05-04T15:58:58.033870,609,"{""source_uri"": ""http://who.int/features/2014/ebola-liberia/photos/en/index5.html"", ""image_url"": ""http://who.int/features/2014/ebola-liberia/ebola-liberia-6.jpg"", ""id"": ""62""}",15,0,27,0,completed,62,http://who.int/features/2014/ebola-liberia/ebola-liberia-6.jpg,http://who.int/features/2014/ebola-liberia/photos/en/index5.html
